NUMBER,FLUX_AUTO,MAG_AUTO,KRON_RADIUS,PETRO_RADIUS,BACKGROUND,THRESHOLD,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS
6354,0.778641,0.2717,3.5,3.5,0.002556651,0.02752947,1531.0975,2365.4373,1.383,0.707,77.79,0.489,0.014,1.377
6355,1.295029,-0.2807,3.5,3.5,0.00253443,0.02752947,1471.9927,2376.2297,2.531,0.679,-89.39,0.732,0.01,3.197
6356,3.565193,-1.3802,7.23,5.94,0.002670167,0.02752947,3716.4895,2363.0042,1.611,1.044,-7.75,0.352,0,4.655
6357,0.6041788,0.5471,6.65,4.62,0.004026906,0.02752947,75.5999,2361.2373,0.747,0.457,-72.5,0.388,0.844,1.184
6358,0.6020174,0.551,3.5,5.94,0.002808807,0.02752947,3968.0339,2360.999,0.911,0.524,44.6,0.425,0.037,1.204
6359,1.333005,-0.3121,3.5,5.28,0.004023539,0.02752947,77.781,2367.2444,1.243,1.071,-47.36,0.138,0.006,1.86
6360,0.552718,0.6437,5.45,6.6,0.002544649,0.02752947,3547.5071,2361.9917,0.805,0.5,88.79,0.379,0.045,1.071
6361,1.311472,-0.2944,3.74,3.96,0.003612713,0.02752947,355.914,2369.2009,1.719,0.629,46.5,0.634,0.007,2.246
6362,0.8416391,0.1872,4.54,7.26,0.002932834,0.02752947,2546.5183,2364.5349,0.997,0.403,71.09,0.596,0.058,1.778
6363,0.6758518,0.4254,7.52,4.62,0.002617501,0.02752947,1718.1521,2359.6213,0.778,0.439,-18.81,0.436,0.017,1.659
6364,0.6741899,0.428,3.5,0,0.002750318,0.02752947,1898.9948,2362.0093,0.916,0.529,45.35,0.422,0,1.661
6365,1.048165,-0.0511,3.5,4.62,0.002900445,0.02752947,2579.7144,2367.9717,1.251,0.797,51.46,0.363,0.009,2.097
6366,9.191786,-2.4085,3.5,6.6,0.002524538,0.02752947,1453.6831,2388.7615,4.059,2.563,-18.48,0.369,0,4.383
6367,3.383591,-1.3234,6.64,5.28,0.002486667,0.02752947,3160.9058,2376.6223,2.266,1.297,-33.19,0.428,0,3.242
6368,0.8565312,0.1681,3.5,3.5,0.002506588,0.02752947,1374.0089,2363.7109,0.744,0.692,-10.02,0.07,0,1.763
6369,1.27554,-0.2642,4.9,3.5,0.003030471,0.02752947,2439.5818,2373.9375,1.722,1.291,17.94,0.25,0.003,1.957
6370,13.59314,-2.8333,5,7.26,0.002535431,0.02752947,1490.0227,2393.2769,3.803,2.778,-4.74,0.269,0,5.384
6371,1.109811,-0.1131,5.61,3.5,0.002490592,0.02752947,1358.9821,2395.24,1.25,0.864,-28.97,0.309,0.016,1.872
