NUMBER,X_IMAGE,Y_IMAGE,FLUX_AUTO,MAG_AUTO,A_IMAGE,B_IMAGE,KRON_RADIUS,PETRO_RADIUS,FLUX_RADIUS,ELLIPTICITY,THETA_IMAGE,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,CLASS_STAR
757,1958.2736,1045.4343,6.407647,24.9833,1.675,1.133,6.24,9.24,3.305,0.324,-58.65,0.0006413985,0.08148756,16,0
758,3920.7844,1038.5834,5.408069,25.1674,0.968,0.839,7.33,10.56,3.255,0.133,-53.29,0.0009034119,0.08148756,7,0
759,509.3826,1047.1724,10.15773,24.483,1.919,1.663,6.03,7.92,3.958,0.133,-42.36,0.0003897135,0.08148756,31,0
760,2781.5315,1035.679,1.842271,26.3366,0.937,0.467,7.35,7.26,1.886,0.502,0.35,-0.001040091,0.08148756,5,0
761,571.1655,1057.5493,27.65359,23.3956,2.586,2.106,5.68,8.58,4.43,0.186,-5.62,0.0004284583,0.08148756,75,0
762,471.0991,1066.2362,34.29427,23.1619,2.857,2.685,5.85,7.26,5.363,0.06,26.9,-9.032241e-05,0.08148756,103,0
763,1058.755,1043.8954,5.582646,25.1329,1.59,0.775,7.05,5.28,3.326,0.513,27.16,0.0002375442,0.08148756,12,0
764,2345.9473,1160.6682,274.1438,20.9051,5.947,5.451,4.54,6.6,7.312,0.083,68.49,0.001727689,0.08148756,661,0.001
765,1197.9479,1058.7465,21.13183,23.6877,2.774,1.874,6.28,9.24,5.437,0.325,14.88,-0.0001190134,0.08148756,64,0
766,544.3261,1045.6216,6.02904,25.0494,1.176,0.613,8.55,6.6,4.241,0.478,-76.26,0.0006499921,0.08148756,8,0
767,3254.6169,1076.9667,54.45242,22.66,3.172,2.946,4.68,7.26,4.484,0.071,-40.72,0.0007960153,0.08148756,153,0
768,3962.8162,1065.4618,21.45988,23.6709,2.429,2.113,5.22,9.9,4.27,0.13,-9.62,0.002373697,0.08148756,68,0
769,1775.0929,1072.7112,26.2865,23.4507,2.863,2.379,5.8,9.24,5.297,0.169,-10.89,-0.0002382571,0.08148756,87,0
770,1381.4712,1099.1194,25.62445,23.4784,2.387,2.062,7.27,10.56,7.054,0.136,-75.1,0.001317362,0.08148756,45,0
